a	A | A
blotted	B/LOT/-D | 3/5O7/-5
blotting	B/LOT/-NG | 3/5O7/-2
blotty	B/LOT/-Y | 3/5O7/-3
blundered	B/LUN/-D/-R/-D | 3/5U6/-5/-8/-5
blunderingly	B/LUN/-D/-R/-NG/-L/-Y | 3/5U6/-5/-8/-2/-4/-3
blunderings	B/LUN/-D/-R/-NG/-SS | 3/5U6/-5/-8/-2/-1
blundering	B/LUN/-D/-R/-NG | 3/5U6/-5/-8/-2
blunder	B/LUN/-D/-R | 3/5U6/-5/-8
blunders	B/LUN/-D/-R/-SS | 3/5U6/-5/-8/-1
blunted	B/LUN/-T/-D | 3/5U6/-7/-5
blunting	B/LUN/-T/-NG | 3/5U6/-7/-2
bluntly	B/LUN/-T/-L/-Y | 3/5U6/-7/-4/-3
blunts	B/LUN/-T/-SS | 3/5U6/-7/-1
blunt	B/LUN/-T | 3/5U6/-7
blur	B/LUR | 3/5U8
blurred	B/LUR/-D | 3/5U8/-5
blurring	B/LUR/-NG | 3/5U8/-2
blurry	B/LUR/-Y | 3/5U8/-3
blurs	B/LUR/-SS | 3/5U8/-1
blurted	B/LUR/-T/-D | 3/5U8/-7/-5
blurting	B/LUR/-T/-NG | 3/5U8/-7/-2
blurts	B/LUR/-T/-SS | 3/5U8/-7/-1
blurt	B/LUR/-T | 3/5U8/-7
bodied	BOD/-D | 3O5/-5
bodies	BOD/-Y/-SS | 3O5/-3/-1
bodily	BOD/-L/-Y | 3O5/-4/-3
bod	BOD | 3O5
bods	BOD/-SS | 3O5/-1
body	BOD/-Y | 3O5/-3
bollard	BOL/-R/-D | 3O4/-8/-5
bollards	BOL/-R/-D/-SS | 3O4/-8/-5/-1
bonded	BON/-D/-D | 3O6/-5/-5
bondings	BON/-D/-NG/-SS | 3O6/-5/-2/-1
bonding	BON/-D/-NG | 3O6/-5/-2
bond	BON/-D | 3O6/-5
bonds	BON/-D/-SS | 3O6/-5/-1
bonged	BONG/-D | 3O2/-5
bong	BONG | 3O2
bongs	BONG/-SS | 3O2/-1
bonneted	BON/-T/-D | 3O6/-7/-5
bonnet	BON/-T | 3O6/-7
bonnets	BON/-T/-SS | 3O6/-7/-1
bonnily	BON/-L/-Y | 3O6/-4/-3
bon	BON | 3O6
bonny	BON/-Y | 3O6/-3
borate	BOR/-T | 3O8/-7
borates	BOR/-T/-SS | 3O8/-7/-1
bordellos	B/R/DEL/-SS | 3/1/6E4/-1
bordered	BOR/-D/-R/-D | 3O8/-5/-8/-5
bordering	BOR/-D/-R/-NG | 3O8/-5/-8/-2
border	BOR/-D/-R | 3O8/-5/-8
borders	BOR/-D/-R/-SS | 3O8/-5/-8/-1
boreal	BOR/-L | 3O8/-4
bored	BOR/-D | 3O8/-5
bores	BOR/-SS | 3O8/-1
bore	BOR | 3O8
boring	BOR/-NG | 3O8/-2
