a	A | A
ratting	RAT/-NG | 1A7/-2
rattled	RAT/-L/-D | 1A7/-4/-5
rattle	RAT/-L | 1A7/-4
rattles	RAT/-L/-SS | 1A7/-4/-1
rattling	RAT/-L/-NG | 1A7/-4/-2
rattly	RAT/-L/-Y | 1A7/-4/-3
ratty	RAT/-Y | 1A7/-3
read	RED | 1E5
readied	RED/-D | 1E5/-5
readied	RED/-Y/-D | 1E5/-3/-5
readies	RED/-Y/-SS | 1E5/-3/-1
redly	RED/-L/-Y | 1E5/-4/-3
readying	RED/-NG | 1E5/-2
readying	RED/-Y/-NG | 1E5/-3/-2
ready	RED/-Y | 1E5/-3
rebel	R/BEL | 1/3E4
rebelled	R/BEL/-D | 1/3E4/-5
rebelling	R/BEL/-NG | 1/3E4/-2
rebels	R/BEL/-SS | 1/3E4/-1
rebuts	R/BUT/-SS | 1/3U7/-1
rebuttal	R/BUT/-L | 1/3U7/-4
rebuttals	R/BUT/-L/-SS | 1/3U7/-4/-1
rebutted	R/BUT/-D | 1/3U7/-5
rebutting	R/BUT/-NG | 1/3U7/-2
rebut	R/BUT | 1/3U7
recanted	R/KAN/-T/-D | 1/2A6/-7/-5
recanting	R/KAN/-T/-NG | 1/2A6/-7/-2
recants	R/KAN/-T/-SS | 1/2A6/-7/-1
recant	R/KAN/-T | 1/2A6/-7
record	R/KOR/-D | 1/2O8/-5
recorded	R/KOR/-D/-D | 1/2O8/-5/-5
recording	R/KOR/-D/-NG | 1/2O8/-5/-2
recordings	R/KOR/-D/-NG/-SS | 1/2O8/-5/-2/-1
records	R/KOR/-D/-SS | 1/2O8/-5/-1
rectangular	R/K/TANG/-L/-R | 1/2/8A2/-4/-8
rectangularly	R/K/TANG/-L/-R/-L/-Y | 1/2/8A2/-4/-8/-4/-3
recurred	R/KUR/-D | 1/2U8/-5
recurringly	R/KUR/-NG/-L/-Y | 1/2U8/-2/-4/-3
recurring	R/KUR/-NG | 1/2U8/-2
recurs	R/KUR/-SS | 1/2U8/-1
recur	R/KUR | 1/2U8
redolent	RED/-L/-N/-T | 1E5/-4/-6/-7
redolently	RED/-L/-N/-T/-L/-Y | 1E5/-4/-6/-7/-4/-3
reds	RED/-SS | 1E5/-1
redundant	R/DUN/-D/-N/-T | 1/6U6/-5/-6/-7
redundantly	R/DUN/-D/-N/-T/-L/-Y | 1/6U6/-5/-6/-7/-4/-3
relented	R/LEN/-T/-D | 1/5E6/-7/-5
relenting	R/LEN/-T/-NG | 1/5E6/-7/-2
relents	R/LEN/-T/-SS | 1/5E6/-7/-1
relent	R/LEN/-T | 1/5E6/-7
rended	REN/-D/-D | 1E6/-5/-5
rendered	REN/-D/-R/-D | 1E6/-5/-8/-5
renderings	REN/-D/-R/-NG/-SS | 1E6/-5/-8/-2/-1
rendering	REN/-D/-R/-NG | 1E6/-5/-8/-2
renders	REN/-D/-R/-SS | 1E6/-5/-8/-1
render	REN/-D/-R | 1E6/-5/-8
rendings	REN/-D/-NG/-SS | 1E6/-5/-2/-1
rending	REN/-D/-NG | 1E6/-5/-2
rends	REN/-D/-SS | 1E6/-5/-1
rend	REN/-D | 1E6/-5
rent	REN/-T | 1E6/-7
rental	REN/-T/-L | 1E6/-7/-4
rentals	REN/-T/-L/-SS | 1E6/-7/-4/-1
rented	REN/-T/-D | 1E6/-7/-5
renting	REN/-T/-NG | 1E6/-7/-2
rents	REN/-T/-SS | 1E6/-7/-1
repelled	R/PEL/-D | 1/4E4/-5
repellingly	R/PEL/-NG/-L/-Y | 1/4E4/-2/-4/-3
repelling	R/PEL/-NG | 1/4E4/-2
repels	R/PEL/-SS | 1/4E4/-1
repel	R/PEL | 1/4E4
repented	R/PEN/-T/-D | 1/4E6/-7/-5
repentingly	R/PEN/-T/-NG/-L/-Y | 1/4E6/-7/-2/-4/-3
repenting	R/PEN/-T/-NG | 1/4E6/-7/-2
repents	R/PEN/-T/-SS | 1/4E6/-7/-1
repent	R/PEN/-T | 1/4E6/-7
reportedly	R/POR/-T/-D/-L/-Y | 1/4O8/-7/-5/-4/-3
reported	R/POR/-T/-D | 1/4O8/-7/-5
reportingly	R/POR/-T/-NG/-L/-Y | 1/4O8/-7/-2/-4/-3
reportings	R/POR/-T/-NG/-SS | 1/4O8/-7/-2/-1
reporting	R/POR/-T/-NG | 1/4O8/-7/-2
report	R/POR/-T | 1/4O8/-7
reports	R/POR/-T/-SS | 1/4O8/-7/-1
repulsed	R/PUL/-SS/-D | 1/4U4/-1/-5
repulses	R/PUL/-SS/-SS | 1/4U4/-1/-1
repulsing	R/PUL/-SS/-NG | 1/4U4/-1/-2
resented	R/SEN/-T/-D | 1/7E6/-7/-5
resentings	R/SEN/-T/-NG/-SS | 1/7E6/-7/-2/-1
resenting	R/SEN/-T/-NG | 1/7E6/-7/-2
resents	R/SEN/-T/-SS | 1/7E6/-7/-1
resent	R/SEN/-T | 1/7E6/-7
resorted	R/SOR/-T/-D | 1/7O8/-7/-5
resorting	R/SOR/-T/-NG | 1/7O8/-7/-2
resort	R/SOR/-T | 1/7O8/-7
resorts	R/SOR/-T/-SS | 1/7O8/-7/-1
resplendent	R/S/P/LEN/-D/-N/-T | 1/7/4/5E6/-5/-6/-7
resplendently	R/S/P/LEN/-D/-N/-T/-L/-Y | 1/7/4/5E6/-5/-6/-7/-4/-3
responded	R/S/PON/-D/-D | 1/7/4O6/-5/-5
responding	R/S/PON/-D/-NG | 1/7/4O6/-5/-2
responds	R/S/PON/-D/-SS | 1/7/4O6/-5/-1
respond	R/S/PON/-D | 1/7/4O6/-5
responses	R/S/PON/-SS/-SS | 1/7/4O6/-1/-1
restored	R/S/TOR/-D | 1/7/8O8/-5
restores	R/S/TOR/-SS | 1/7/8O8/-1
restore	R/S/TOR | 1/7/8O8
restoring	R/S/TOR/-NG | 1/7/8O8/-2
resulted	R/SUL/-T/-D | 1/7U4/-7/-5
resulting	R/SUL/-T/-NG | 1/7U4/-7/-2
result	R/SUL/-T | 1/7U4/-7
results	R/SUL/-T/-SS | 1/7U4/-7/-1
retard	R/TAR/-D | 1/8A8/-5
retarded	R/TAR/-D/-D | 1/8A8/-5/-5
retarding	R/TAR/-D/-NG | 1/8A8/-5/-2
retards	R/TAR/-D/-SS | 1/8A8/-5/-1
retinal	RET/-N/-L | 1E7/-6/-4
retinas	RET/-N/-SS | 1E7/-6/-1
ret	RET | 1E7
retorted	R/TOR/-T/-D | 1/8O8/-7/-5
retorting	R/TOR/-T/-NG | 1/8O8/-7/-2
retort	R/TOR/-T | 1/8O8/-7
retorts	R/TOR/-T/-SS | 1/8O8/-7/-1
returned	R/TUR/-N/-D | 1/8U8/-6/-5
returnings	R/TUR/-N/-NG/-SS | 1/8U8/-6/-2/-1
returning	R/TUR/-N/-NG | 1/8U8/-6/-2
return	R/TUR/-N | 1/8U8/-6
returns	R/TUR/-N/-SS | 1/8U8/-6/-1
risottos	R/SOT/-SS | 1/7O7/-1
rodded	ROD/-D | 1O5/-5
rodding	ROD/-NG | 1O5/-2
rod	ROD | 1O5
rods	ROD/-SS | 1O5/-1
rot	ROT | 1O7
rots	ROT/-SS | 1O7/-1
rotted	ROT/-D | 1O7/-5
rotting	ROT/-NG | 1O7/-2
rotundas	R/TUN/-D/-SS | 1/8U6/-5/-1
rotundity	R/TUN/-D/-T | 1/8U6/-5/-7
rotund	R/TUN/-D | 1/8U6/-5
rotundly	R/TUN/-D/-L/-Y | 1/8U6/-5/-4/-3
rudder	RUD/-R | 1U5/-8
rudders	RUD/-R/-SS | 1U5/-8/-1
ruddily	RUD/-L/-Y | 1U5/-4/-3
ruddy	RUD/-Y | 1U5/-3
rungs	RUNG/-SS | 1U2/-1
rung	RUNG | 1U2
runningly	RUN/-NG/-L/-Y | 1U6/-2/-4/-3
running	RUN/-NG | 1U6/-2
runny	RUN/-Y | 1U6/-3
runs	RUN/-SS | 1U6/-1
runt	RUN/-T | 1U6/-7
runts	RUN/-T/-SS | 1U6/-7/-1
runty	RUN/-T/-Y | 1U6/-7/-3
run	RUN | 1U6
rut	RUT | 1U7
ruts	RUT/-SS | 1U7/-1
rutted	RUT/-D | 1U7/-5
rutting	RUT/-NG | 1U7/-2
rutty	RUT/-Y | 1U7/-3
saddled	SAD/-L/-D | 7A5/-4/-5
saddle	SAD/-L | 7A5/-4
saddles	SAD/-L/-SS | 7A5/-4/-1
saddling	SAD/-L/-NG | 7A5/-4/-2
sad	SAD | 7A5
sadly	SAD/-L/-Y | 7A5/-4/-3
said	SED | 7E5
salad	SAL/-D | 7A4/-5
salads	SAL/-D/-SS | 7A4/-5/-1
salaried	SAL/-R/-D | 7A4/-8/-5
salaried	SAL/-R/-Y/-D | 7A4/-8/-3/-5
salaries	SAL/-R/-Y/-SS | 7A4/-8/-3/-1
salary	SAL/-R/-Y | 7A4/-8/-3
sallied	SAL/-Y/-D | 7A4/-3/-5
sallies	SAL/-Y/-SS | 7A4/-3/-1
sallying	SAL/-NG | 7A4/-2
sallying	SAL/-Y/-NG | 7A4/-3/-2
sally	SAL/-Y | 7A4/-3
salsas	SAL/-SS/-SS | 7A4/-1/-1
sandalled	SAN/-D/-L/-D | 7A6/-5/-4/-5
sandal	SAN/-D/-L | 7A6/-5/-4
sandals	SAN/-D/-L/-SS | 7A6/-5/-4/-1
sanded	SAN/-D/-D | 7A6/-5/-5
sanding	SAN/-D/-NG | 7A6/-5/-2
sand	SAN/-D | 7A6/-5
sandor	SAN/-D/-R | 7A6/-5/-8
sands	SAN/-D/-SS | 7A6/-5/-1
sandy	SAN/-D/-Y | 7A6/-5/-3
sangster	SANG/-SS/-T/-R | 7A2/-1/-7/-8
sangsters	SANG/-SS/-T/-R/-SS | 7A2/-1/-7/-8/-1
sang	SANG | 7A2
sanity	SAN/-T | 7A6/-7
san	SAN | 7A6
santos	SAN/-T/-SS | 7A6/-7/-1
sarin	SAR/-N | 7A8/-6
sari	SAR/-Y | 7A8/-3
saris	SAR/-SS | 7A8/-1
saris	SAR/-Y/-SS | 7A8/-3/-1
sarney	SAR/-N/-Y | 7A8/-6/-3
sarnies	SAR/-N/-Y/-SS | 7A8/-6/-3/-1
sarong	S/RONG | 7/1O2
sarongs	S/RONG/-SS | 7/1O2/-1
sarsnet	SAR/-SS/-N/-T | 7A8/-1/-6/-7
sartorial	S/R/TOR/-L | 7/1/8O8/-4
sartorially	S/R/TOR/-L/-Y | 7/1/8O8/-4/-3
satelite	SAT/-L/-T | 7A7/-4/-7
satelites	SAT/-L/-T/-SS | 7A7/-4/-7/-1
satin	SAT/-N | 7A7/-6
satins	SAT/-N/-SS | 7A7/-6/-1
satiny	SAT/-N/-Y | 7A7/-6/-3
satyr	SAT/-R | 7A7/-8
satyrs	SAT/-R/-SS | 7A7/-8/-1
saturn	SAT/-R/-N | 7A7/-8/-6
sat	SAT | 7A7
scandalled	S/KAN/-D/-L/-D | 7/2A6/-5/-4/-5
scandal	S/KAN/-D/-L | 7/2A6/-5/-4
scandals	S/KAN/-D/-L/-SS | 7/2A6/-5/-4/-1
scanned	S/KAN/-D | 7/2A6/-5
scanning	S/KAN/-NG | 7/2A6/-2
scannings	S/KAN/-NG/-SS | 7/2A6/-2/-1
scan	S/KAN | 7/2A6
scans	S/KAN/-SS | 7/2A6/-1
scanties	S/KAN/-T/-Y/-SS | 7/2A6/-7/-3/-1
scant	S/KAN/-T | 7/2A6/-7
scantle	S/KAN/-T/-L | 7/2A6/-7/-4
scantling	S/KAN/-T/-L/-NG | 7/2A6/-7/-4/-2
scantlings	S/KAN/-T/-L/-NG/-SS | 7/2A6/-7/-4/-2/-1
scantly	S/KAN/-T/-L/-Y | 7/2A6/-7/-4/-3
scanty	S/KAN/-T/-Y | 7/2A6/-7/-3
scar	S/KAR | 7/2A8
scarred	S/KAR/-D | 7/2A8/-5
scarring	S/KAR/-NG | 7/2A8/-2
scars	S/KAR/-SS | 7/2A8/-1
scat	S/KAT | 7/2A7
scattered	S/KAT/-R/-D | 7/2A7/-8/-5
scatteringly	S/KAT/-R/-NG/-L/-Y | 7/2A7/-8/-2/-4/-3
scattering	S/KAT/-R/-NG | 7/2A7/-8/-2
scatters	S/KAT/-R/-SS | 7/2A7/-8/-1
scatter	S/KAT/-R | 7/2A7/-8
scattily	S/KAT/-L/-Y | 7/2A7/-4/-3
scatty	S/KAT/-Y | 7/2A7/-3
scented	SEN/-T/-D | 7E6/-7/-5
scenting	SEN/-T/-NG | 7E6/-7/-2
scholarly	S/KOL/-R/-L/-Y | 7/2O4/-8/-4/-3
scholar	S/KOL/-R | 7/2O4/-8
scholars	S/KOL/-R/-SS | 7/2O4/-8/-1
scone	S/KON | 7/2O6
scones	S/KON/-SS | 7/2O6/-1
scored	S/KOR/-D | 7/2O8/-5
score	S/KOR | 7/2O8
scores	S/KOR/-SS | 7/2O8/-1
scoring	S/KOR/-NG | 7/2O8/-2
scorned	S/KOR/-N/-D | 7/2O8/-6/-5
scorning	S/KOR/-N/-NG | 7/2O8/-6/-2
scorn	S/KOR/-N | 7/2O8/-6
scorns	S/KOR/-N/-SS | 7/2O8/-6/-1
scriptorial	S/K/R/P/TOR/-L | 7/2/1/4/8O8/-4
scudded	S/KUD/-D | 7/2U5/-5
scudding	S/KUD/-NG | 7/2U5/-2
scud	S/KUD | 7/2U5
scuds	S/KUD/-SS | 7/2U5/-1
sculled	S/KUL/-D | 7/2U4/-5
sculleries	S/KUL/-R/-Y/-SS | 7/2U4/-8/-3/-1
scullery	S/KUL/-R/-Y | 7/2U4/-8/-3
sculling	S/KUL/-NG | 7/2U4/-2
skulls	S/KUL/-SS | 7/2U4/-1
skull	S/KUL | 7/2U4
scurried	S/KUR/-D | 7/2U8/-5
scurried	S/KUR/-Y/-D | 7/2U8/-3/-5
scurries	S/KUR/-Y/-SS | 7/2U8/-3/-1
scurrilous	S/KUR/-L/-SS | 7/2U8/-4/-1
scurrilously	S/KUR/-L/-SS/-L/-Y | 7/2U8/-4/-1/-4/-3
scurrying	S/KUR/-NG | 7/2U8/-2
scurrying	S/KUR/-Y/-NG | 7/2U8/-3/-2
scurry	S/KUR/-Y | 7/2U8/-3
scut	S/KUT | 7/2U7
scuts	S/KUT/-SS | 7/2U7/-1
scutters	S/KUT/-R/-SS | 7/2U7/-8/-1
scutter	S/KUT/-R | 7/2U7/-8
scuttled	S/KUT/-L/-D | 7/2U7/-4/-5
scuttles	S/KUT/-L/-SS | 7/2U7/-4/-1
scuttle	S/KUT/-L | 7/2U7/-4
scuttling	S/KUT/-L/-NG | 7/2U7/-4/-2
second	S/KON/-D | 7/2O6/-5
seconded	S/KON/-D/-D | 7/2O6/-5/-5
seconding	S/KON/-D/-NG | 7/2O6/-5/-2
seconds	S/KON/-D/-SS | 7/2O6/-5/-1
sedan	S/DAN | 7/6A6
sedans	S/DAN/-SS | 7/6A6/-1
sedulous	SED/-L/-SS | 7E5/-4/-1
sedulously	SED/-L/-SS/-L/-Y | 7E5/-4/-1/-4/-3
selenite	SEL/-N/-T | 7E4/-6/-7
selling	SEL/-NG | 7E4/-2
sending	SEN/-D/-NG | 7E6/-5/-2
sends	SEN/-D/-SS | 7E6/-5/-1
send	SEN/-D | 7E6/-5
sensed	SEN/-SS/-D | 7E6/-1/-5
sensing	SEN/-SS/-NG | 7E6/-1/-2
sentinel	SEN/-T/-N/-L | 7E6/-7/-6/-4
sentinels	SEN/-T/-N/-L/-SS | 7E6/-7/-6/-4/-1
sentries	SEN/-T/-R/-Y/-SS | 7E6/-7/-8/-3/-1
sentry	SEN/-T/-R/-Y | 7E6/-7/-8/-3
septennially	S/P/TEN/-L/-Y | 7/4/8E6/-4/-3
septennial	S/P/TEN/-L | 7/4/8E6/-4
septet	S/P/TET | 7/4/8E7
septets	S/P/TET/-SS | 7/4/8E7/-1
serenity	S/REN/-T | 7/1E6/-7
serried	SER/-D | 7E8/-5
sets	SET/-SS | 7E7/-1
settings	SET/-NG/-SS | 7E7/-2/-1
setting	SET/-NG | 7E7/-2
settled	SET/-L/-D | 7E7/-4/-5
settles	SET/-L/-SS | 7E7/-4/-1
settle	SET/-L | 7E7/-4
settling	SET/-L/-NG | 7E7/-4/-2
sett	SET | 7E7
skedaddled	S/K/DAD/-L/-D | 7/2/6A5/-4/-5
skedaddle	S/K/DAD/-L | 7/2/6A5/-4
skedaddling	S/K/DAD/-L/-NG | 7/2/6A5/-4/-2
skeletal	S/KEL/-T/-L | 7/2E4/-7/-4
skeleton	S/KEL/-T/-N | 7/2E4/-7/-6
skeletons	S/KEL/-T/-N/-SS | 7/2E4/-7/-6/-1
skelter	S/KEL/-T/-R | 7/2E4/-7/-8
skerries	S/KER/-Y/-SS | 7/2E8/-3/-1
slandered	S/LAN/-D/-R/-D | 7/5A6/-5/-8/-5
slanderingly	S/LAN/-D/-R/-NG/-L/-Y | 7/5A6/-5/-8/-2/-4/-3
slanderings	S/LAN/-D/-R/-NG/-SS | 7/5A6/-5/-8/-2/-1
slandering	S/LAN/-D/-R/-NG | 7/5A6/-5/-8/-2
slander	S/LAN/-D/-R | 7/5A6/-5/-8
slanders	S/LAN/-D/-R/-SS | 7/5A6/-5/-8/-1
slangingly	S/LANG/-NG/-L/-Y | 7/5A2/-2/-4/-3
slanging	S/LANG/-NG | 7/5A2/-2
slang	S/LANG | 7/5A2
slangs	S/LANG/-SS | 7/5A2/-1
slangy	S/LANG/-Y | 7/5A2/-3
slanted	S/LAN/-T/-D | 7/5A6/-7/-5
slantingly	S/LAN/-T/-NG/-L/-Y | 7/5A6/-7/-2/-4/-3
slanting	S/LAN/-T/-NG | 7/5A6/-7/-2
slant	S/LAN/-T | 7/5A6/-7
slants	S/LAN/-T/-SS | 7/5A6/-7/-1
slanty	S/LAN/-T/-Y | 7/5A6/-7/-3
slat	S/LAT | 7/5A7
slats	S/LAT/-SS | 7/5A7/-1
slatted	S/LAT/-D | 7/5A7/-5
slatternly	S/LAT/-R/-N/-L/-Y | 7/5A7/-8/-6/-4/-3
slattern	S/LAT/-R/-N | 7/5A7/-8/-6
slatterns	S/LAT/-R/-N/-SS | 7/5A7/-8/-6/-1
sledded	S/LED/-D | 7/5E5/-5
sledding	S/LED/-NG | 7/5E5/-2
sled	S/LED | 7/5E5
sleds	S/LED/-SS | 7/5E5/-1
slendering	S/LEN/-D/-R/-NG | 7/5E6/-5/-8/-2
slender	S/LEN/-D/-R | 7/5E6/-5/-8
slenderly	S/LEN/-D/-R/-L/-Y | 7/5E6/-5/-8/-4/-3
slot	S/LOT | 7/5O7
slots	S/LOT/-SS | 7/5O7/-1
slotted	S/LOT/-D | 7/5O7/-5
slotting	S/LOT/-NG | 7/5O7/-2
slung	S/LUNG | 7/5U2
slur	S/LUR | 7/5U8
slurred	S/LUR/-D | 7/5U8/-5
slurried	S/LUR/-Y/-D | 7/5U8/-3/-5
slurries	S/LUR/-Y/-SS | 7/5U8/-3/-1
slurring	S/LUR/-NG | 7/5U8/-2
slurry	S/LUR/-Y | 7/5U8/-3
slurs	S/LUR/-SS | 7/5U8/-1
slut	S/LUT | 7/5U7
sluts	S/LUT/-SS | 7/5U7/-1
slutty	S/LUT/-Y | 7/5U7/-3
sodden	SOD/-N | 7O5/-6
soddens	SOD/-N/-SS | 7O5/-6/-1
sodding	SOD/-NG | 7O5/-2
sod	SOD | 7O5
sods	SOD/-SS | 7O5/-1
solaris	S/LAR/-SS | 7/5A8/-1
solid	SOL/-D | 7O4/-5
solidly	SOL/-D/-L/-Y | 7O4/-5/-4/-3
solids	SOL/-D/-SS | 7O4/-5/-1
sol	SOL | 7O4
solute	SOL/-T | 7O4/-7
song	SONG | 7O2
songs	SONG/-SS | 7O2/-1
songster	SONG/-SS/-T/-R | 7O2/-1/-7/-8
songsters	SONG/-SS/-T/-R/-SS | 7O2/-1/-7/-8/-1
sonnet	SON/-T | 7O6/-7
sonnets	SON/-T/-SS | 7O6/-7/-1
sonnies	SON/-Y/-SS | 7O6/-3/-1
son	SON | 7O6
sonny	SON/-Y | 7O6/-3
sonorant	SON/-R/-N/-T | 7O6/-8/-6/-7
sons	SON/-SS | 7O6/-1
sopranos	S/P/RAN/-SS | 7/4/1A6/-1
sordid	SOR/-D/-D | 7O8/-5/-5
sordidly	SOR/-D/-D/-L/-Y | 7O8/-5/-5/-4/-3
sore	SOR | 7O8
sorely	SOR/-L/-Y | 7O8/-4/-3
sores	SOR/-SS | 7O8/-1
sororial	S/ROR/-L | 7/1O8/-4
sororially	S/ROR/-L/-Y | 7/1O8/-4/-3
sororities	S/ROR/-T/-Y/-SS | 7/1O8/-7/-3/-1
sorority	S/ROR/-T/-Y | 7/1O8/-7/-3
sorrel	SOR/-L | 7O8/-4
sorries	SOR/-Y/-SS | 7O8/-3/-1
sorry	SOR/-Y | 7O8/-3
sorted	SOR/-T/-D | 7O8/-7/-5
sortied	SOR/-T/-Y/-D | 7O8/-7/-3/-5
sortieing	SOR/-T/-Y/-NG | 7O8/-7/-3/-2
sortie	SOR/-T/-Y | 7O8/-7/-3
sorties	SOR/-T/-Y/-SS | 7O8/-7/-3/-1
sortings	SOR/-T/-NG/-SS | 7O8/-7/-2/-1
sorting	SOR/-T/-NG | 7O8/-7/-2
sort	SOR/-T | 7O8/-7
sorts	SOR/-T/-SS | 7O8/-7/-1
sot	SOT | 7O7
sots	SOT/-SS | 7O7/-1
spandrel	S/PAN/-D/-R/-L | 7/4A6/-5/-8/-4
spangled	S/PANG/-L/-D | 7/4A2/-4/-5
spangle	S/PANG/-L | 7/4A2/-4
spangles	S/PANG/-L/-SS | 7/4A2/-4/-1
spangling	S/PANG/-L/-NG | 7/4A2/-4/-2
spangly	S/PANG/-L/-Y | 7/4A2/-4/-3
spanned	S/PAN/-D | 7/4A6/-5
spanner	S/PAN/-R | 7/4A6/-8
spanners	S/PAN/-R/-SS | 7/4A6/-8/-1
spanning	S/PAN/-NG | 7/4A6/-2
span	S/PAN | 7/4A6
spa	S/PA | 7/4A
spans	S/PAN/-SS | 7/4A6/-1
spar	S/PAR | 7/4A8
sparred	S/PAR/-D | 7/4A8/-5
sparring	S/PAR/-NG | 7/4A8/-2
sparsity	S/PAR/-SS/-T | 7/4A8/-1/-7
spars	S/PAR/-SS | 7/4A8/-1
spas	S/PASS | 7/4A1
spats	S/PAT/-SS | 7/4A7/-1
spatted	S/PAT/-D | 7/4A7/-5
spattered	S/PAT/-R/-D | 7/4A7/-8/-5
spattering	S/PAT/-R/-NG | 7/4A7/-8/-2
spatter	S/PAT/-R | 7/4A7/-8
spatters	S/PAT/-R/-SS | 7/4A7/-8/-1
spatting	S/PAT/-NG | 7/4A7/-2
spatulas	S/PAT/-L/-SS | 7/4A7/-4/-1
spat	S/PAT | 7/4A7
sped	S/PED | 7/4E5
spelled	S/PEL/-D | 7/4E4/-5
spelling	S/PEL/-NG | 7/4E4/-2
spellings	S/PEL/-NG/-SS | 7/4E4/-2/-1
spell	S/PEL | 7/4E4
spells	S/PEL/-SS | 7/4E4/-1
spelt	S/PEL/-T | 7/4E4/-7
spending	S/PEN/-D/-NG | 7/4E6/-5/-2
spendings	S/PEN/-D/-NG/-SS | 7/4E6/-5/-2/-1
spends	S/PEN/-D/-SS | 7/4E6/-5/-1
spend	S/PEN/-D | 7/4E6/-5
spent	S/PEN/-T | 7/4E6/-7
splat	S/P/LAT | 7/4/5A7
splats	S/P/LAT/-SS | 7/4/5A7/-1
splatted	S/P/LAT/-D | 7/4/5A7/-5
splattered	S/P/LAT/-R/-D | 7/4/5A7/-8/-5
splattering	S/P/LAT/-R/-NG | 7/4/5A7/-8/-2
splatters	S/P/LAT/-R/-SS | 7/4/5A7/-8/-1
splatter	S/P/LAT/-R | 7/4/5A7/-8
splatting	S/P/LAT/-NG | 7/4/5A7/-2
splendid	S/P/LEN/-D/-D | 7/4/5E6/-5/-5
splendidly	S/P/LEN/-D/-D/-L/-Y | 7/4/5E6/-5/-5/-4/-3
splendored	S/P/LEN/-D/-R/-D | 7/4/5E6/-5/-8/-5
splendor	S/P/LEN/-D/-R | 7/4/5E6/-5/-8
splendors	S/P/LEN/-D/-R/-SS | 7/4/5E6/-5/-8/-1
spluttered	S/P/LUT/-R/-D | 7/4/5U7/-8/-5
splutteringly	S/P/LUT/-R/-NG/-L/-Y | 7/4/5U7/-8/-2/-4/-3
spluttering	S/P/LUT/-R/-NG | 7/4/5U7/-8/-2
splutter	S/P/LUT/-R | 7/4/5U7/-8
splutters	S/P/LUT/-R/-SS | 7/4/5U7/-8/-1
spluttery	S/P/LUT/-R/-Y | 7/4/5U7/-8/-3
sponsored	S/PON/-SS/-R/-D | 7/4O6/-1/-8/-5
sponsoring	S/PON/-SS/-R/-NG | 7/4O6/-1/-8/-2
sponsor	S/PON/-SS/-R | 7/4O6/-1/-8
sponsors	S/PON/-SS/-R/-SS | 7/4O6/-1/-8/-1
spore	S/POR | 7/4O8
spores	S/POR/-SS | 7/4O8/-1
sporran	S/POR/-N | 7/4O8/-6
sporrans	S/POR/-N/-SS | 7/4O8/-6/-1
sported	S/POR/-T/-D | 7/4O8/-7/-5
sportingly	S/POR/-T/-NG/-L/-Y | 7/4O8/-7/-2/-4/-3
sporting	S/POR/-T/-NG | 7/4O8/-7/-2
sport	S/POR/-T | 7/4O8/-7
sports	S/POR/-T/-SS | 7/4O8/-7/-1
sporty	S/POR/-T/-Y | 7/4O8/-7/-3
spot	S/POT | 7/4O7
spots	S/POT/-SS | 7/4O7/-1
spotted	S/POT/-D | 7/4O7/-5
spotting	S/POT/-NG | 7/4O7/-2
spotty	S/POT/-Y | 7/4O7/-3
sprang	S/P/RANG | 7/4/1A2
sprat	S/P/RAT | 7/4/1A7
sprats	S/P/RAT/-SS | 7/4/1A7/-1
spreading	S/P/RED/-NG | 7/4/1E5/-2
spread	S/P/RED | 7/4/1E5
spreads	S/P/RED/-SS | 7/4/1E5/-1
sprung	S/P/RUNG | 7/4/1U2
spud	S/PUD | 7/4U5
spuds	S/PUD/-SS | 7/4U5/-1
spun	S/PUN | 7/4U6
spurned	S/PUR/-N/-D | 7/4U8/-6/-5
spurning	S/PUR/-N/-NG | 7/4U8/-6/-2
spur	S/PUR | 7/4U8
spurns	S/PUR/-N/-SS | 7/4U8/-6/-1
spurn	S/PUR/-N | 7/4U8/-6
spurred	S/PUR/-D | 7/4U8/-5
spurring	S/PUR/-NG | 7/4U8/-2
spurs	S/PUR/-SS | 7/4U8/-1
spurted	S/PUR/-T/-D | 7/4U8/-7/-5
spurting	S/PUR/-T/-NG | 7/4U8/-7/-2
spurt	S/PUR/-T | 7/4U8/-7
spurts	S/PUR/-T/-SS | 7/4U8/-7/-1
sputtered	S/PUT/-R/-D | 7/4U7/-8/-5
sputteringly	S/PUT/-R/-NG/-L/-Y | 7/4U7/-8/-2/-4/-3
sputtering	S/PUT/-R/-NG | 7/4U7/-8/-2
sputters	S/PUT/-R/-SS | 7/4U7/-8/-1
sputter	S/PUT/-R | 7/4U7/-8
sputtery	S/PUT/-R/-Y | 7/4U7/-8/-3
staccatos	S/T/KAT/-SS | 7/8/2A7/-1
standard	S/TAN/-D/-R/-D | 7/8A6/-5/-8/-5
standardly	S/TAN/-D/-R/-D/-L/-Y | 7/8A6/-5/-8/-5/-4/-3
standards	S/TAN/-D/-R/-D/-SS | 7/8A6/-5/-8/-5/-1
standings	S/TAN/-D/-NG/-SS | 7/8A6/-5/-2/-1
standing	S/TAN/-D/-NG | 7/8A6/-5/-2
stands	S/TAN/-D/-SS | 7/8A6/-5/-1
stand	S/TAN/-D | 7/8A6/-5
starling	S/TAR/-L/-NG | 7/8A8/-4/-2
starlings	S/TAR/-L/-NG/-SS | 7/8A8/-4/-2/-1
star	S/TAR | 7/8A8
starred	S/TAR/-D | 7/8A8/-5
starring	S/TAR/-NG | 7/8A8/-2
